type_0_packet_per_IPPair,type_3_packet_per_IPPair,type_8_packet_per_IPPair,src_ip_amount,type_0_payload_len_percentile_0,type_0_payload_len_percentile_25,type_0_payload_len_percentile_50,type_0_payload_len_percentile_75,type_0_payload_len_percentile_100,type_0_payload_len_mean,type_8_payload_len_percentile_0,type_8_payload_len_percentile_25,type_8_payload_len_percentile_50,type_8_payload_len_percentile_75,type_8_payload_len_percentile_100,type_8_payload_len_mean,distance_in_ICMP_pair_percentile_0,distance_in_ICMP_pair_percentile_25,distance_in_ICMP_pair_percentile_50,distance_in_ICMP_pair_percentile_75,distance_in_ICMP_pair_percentile_100,distance_in_ICMP_pair_mean,distance_between_type_8_percentile_0,distance_between_type_8_percentile_25,distance_between_type_8_percentile_50,distance_between_type_8_percentile_75,distance_between_type_8_percentile_100,distance_between_type_8_mean,distance_between_type_0_percentile_0,distance_between_type_0_percentile_25,distance_between_type_0_percentile_50,distance_between_type_0_percentile_75,distance_between_type_0_percentile_100,distance_between_type_0_mean,label
0.49851632,0,0.50148368,169,9,18,18,18,18,17.94642857,0,0,0,0,64,2.195266272,0,72,72,72,122,71.55029586,0,0,0,0,158,3.56547619,0,0,0,0,71,0.850299401,1
0.5,0,0.5,934,30,86,86,86,86,85.88008565,30,86,86,86,86,85.88008565,0,0,0,0,0,0,0,0,0,74,76,36.69024652,0,0,0,74,76,36.69024652,1
0.5,0,0.5,2,38,38,38,38,38,38,38,38,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.589285714,0,0.410714286,115,5,5,5,57,654,42.33939394,5,5,5,57,80,24.99130435,0,0,0,0,992,72.80869565,0,0,1,38.75,207,37.22807018,0,0,17.5,76.75,665,60.47560976,1
0.583170254,0,0.409001957,209,5,5,57,109,1472,100.5805369,5,5,57,109,1257,56.79904306,0,0,0,0,5162,241.0574163,0,0.75,151.5,172.5,1399,124.25,0,1,163,212,3979,272.9427609,1
0.593688363,0,0.40433925,205,5,5,57,93,1472,66.8372093,5,5,5,57,1417,43.77560976,0,0,0,0,6133,146.6292683,0,0,1,116,3208,94.91176471,0,0,72.5,154.25,4033,169.35,1
0.588495575,0,0.407079646,184,5,5,57,58,1472,52.05639098,5,5,31,57,156,32.06521739,0,0,0,0,2345,79.7311828,0,0,12,17.5,264,28.08196721,0,0,18,59,1499,68.79245283,1
0.666666667,0,0.333333333,279,23,25,54,68,102,50.14157706,23,23,68,68,87,54.64874552,0,0,5,56,202,39.13620072,5,30,36,63,113,43.50359712,5,30,37,49,110,38.50987433,1
0.667024705,0,0.332975295,310,23,25,54,68,963,70.48309179,23,23,61,68,963,61.7,0,0,5,5,10905,135.5580645,3,29,38,74,994,72.36893204,5,15,38,63,2600,105.9903226,1
0.670168067,0,0.329831933,314,23,47,58,68,963,65.92163009,23,61,68,68,963,65.48407643,0,0,0,109,4308,97.8089172,1,30,39,78,983,74.01597444,5,29,40,69,2505,92.46938776,1
0.666666667,0,0.333333333,61,23,23,24,25,25,24,23,23,23,23,23,23,5,5,5,5,5,5,6,8,10,11,16,9.766666667,5,5,5,13,19,9.454545455,1
0.666025024,0,0.333974976,347,23,47,58,68,949,59.1517341,23,61,68,72,88,60.54466859,0,0,0,106,1319,54.65994236,1,31,38,62,126,45.41618497,5,36,45,61,1022,53.89146165,1
0.5,0,0.5,40,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.5,116,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,3,6,7,8,10,6.773913043,3,6,7,8,10,6.773913043,0
0.5,0,0.5,48,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.5,64,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,3,5,6,8,10,6.698412698,3,5,6,8,10,6.698412698,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,304,0,0,0,0,0,0,56,56,56,56,56,56,0,0,0,0,0,0,4,6,7,9,13,7.310231023,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.5,5892,1,368,736,1104,1472,736.01222,0,368,736,1104,1472,736,0,0,0,0,72,0.048879837,1,120,240,450,1470,352.8479036,1,120,240,450,1470,350.833984,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.491159136,0,0.491159136,6000,1,374.75,749.5,1124.25,1472,749.26,0,374.75,749.5,1124.25,1472,749.248,0,0,0,0,72,0.048,2,246,819,1890,4154,1154.075013,2,246,810,1887.5,4111,1152.133522,0
